Id;ResourceName;Name;HasBmpCollection;HasBmpItem;HasAct
582;오렌지;Orange;;;;
583;똠양꿍;Ketupat Sayur;;;;
584;똠양꿍;Fish Cake Soup;;;;
585;부르스티;Brusti;;;;
586;조각케이크;Mother's Cake;;;;
587;가시열매_;Red Prickly Fruit;;;;
588;똠양꿍;Spaghetti;;;;
589;피자;Piece of Pizza;;;;
590;브리젤_;Pretzel;;;;
591;캐비어팬케이크;Caviar Pancake;;;;
592;딸기잼팬케이크;Jam Pancake;;;;
593;벌꿀팬케이크;Honey Pancake;;;;
594;샤워크림팬케이크;Sour-Cream Pancake;;;;
595;머쉬룸팬케이크;Mushroom Pancake;;;;
596;깜찍한딸기초콜렛;Cute Strawberry-Choco;;;;
597;러블리초코타르트;Lovely Choco-Tart;;;;
598;빨간포션;Light Red Potion;;;;
599;주홍포션;Light Orange Potion;;;;
601;파리의날개;Fly Wing;;;;
602;나비의날개;Butterfly Wing;;;;
603;오래된파란상자;Old Blue Box;;;;
604;고목나무가지;Dead Branch;;;;
605;안티페인멘트;Anodyne;;;;
606;알로에베라;Aloevera;;;;
607;이그드라실열매;Yggdrasil Berry;;;;
608;이그드라실씨앗;Yggdrasil Seed;;;;
609;반혼부;Amulet;;;;
610;이그드라실잎;Yggdrasil Leaf;;;;
611;돋보기;Magnifier;;;;
612;용광로;Mini Furnace;;;;
613;강철망치;Iron Hammer;;;;
614;황금의망치;Golden Hammer;;;;
615;오리데오콘망치;Oridecon Hammer;;;;
616;낡은카드첩;Old Card Album;;;;
617;오래된보라상자;Old Purple Box;;;;
618;낡은두루마리;Worn Out Scroll;;;;
619;덜익은사과;Unripe Apple;;;;
620;오렌지쥬스;Orange Juice;;;;
621;쓰디쓴풀;Bitter Herb;;;;
622;무지개당근;Rainbow Carrot;;;;
623;멋쟁이지렁이;Earthworm the Dude;;;;
624;썩은생선;Rotten Fish;;;;
625;녹슬어버린철;Rusty Iron;;;;
626;몬스터쥬스;Monster Juice;;;;
627;달콤한우유;Sweet Milk;;;;
628;말린뼈다귀;Well-Dried Bone;;;;
629;노래하는꽃;Singing Flower;;;;
630;아침이슬이끼;Dew Laden Moss;;;;
631;맹독초;Deadly Noxious Herb;;;;
632;토실토실지렁이;Fatty Chubby Earthworm;;;;
633;구운고구마;Sweet Potato;;;;
634;열대의바나나;Tropical Banana;;;;
635;조직의쓴맛;Orc Trophy;;;;
636;수취인불명;No Recipient;;;;
637;헌빗자루;Old Broom;;;;
638;순결의은장도;Silver Knife of Chastity;;;;
639;복종의팔찌;Armlet of Obedience;;;;
640;반짝이는돌;Shining Stone;;;;
641;어둠의계약서;Contract in Shadow;;;;
642;악마소환서;Book of the Devil;;;;
643;알부화기;Pet Incubator;;;;
644;선물상자;Gift Box;;;;
645;집중포션;Concentration Potion;;;;
656;각성포션;Awakening Potion;;;;
657;버서크포션;Berserk Potion;;;;
658;조직의단결력;Union of Tribe;;;;
659;그녀의마음;Her Heart;;;;
660;금단의붉은양초;Forbidden Red Candle;;;;
661;하늘하늘앞치마;Soft Apron;;;;
662;마패;Authoritative Badge;;;;
663;송편;Korean Rice Cake;;;;
664;선물상자_1;Gift Box;;;;
665;선물상자_2;Gift Box;;;;
666;선물상자_3;Gift Box;;;;
667;선물상자_4;Gift Box;;;;
668;세뱃돈;New Year's Red Envelope;;;;
669;떡국;Tempting Rice-Cake Soup;;;;
670;금전주머니;Bag of Gold Coins;;;;
671;금화;Roulette Gold Coin;;;;
672;동전주머니;Bag of Bronze Coins;;;;
673;동화;Bronze Coin;;;;
674;미스릴화;Mythril Coin;;;;
675;은화;Roulette Silver Coin;;;;
676;은전주머니;Bag of Silver Coins;;;;
677;백금화;Platinum Coin;;;;
678;데들리포이즌병;Poison Bottle;;;;
679;금환약;Gold Pill;;;;
680;마력의카네이션;Magic Carnation;;;;
681;신혼의추억;Sweet Memory of Marriage;;;;
682;웅황주;Distilled Fighting Spirit;;;;
683;애초;Herb of Incantation;;;;
684;듀리안;Durian;;;;
685;RAMADAN;Ramadan;;;;
686;대지의주문서;Level 3 Earth Spike Scroll;;;;
687;대지의주문서;Level 5 Earth Spike Scroll;;;;
688;물의주문서;Level 3 Cold Bolt Scroll;;;;
689;물의주문서;Level 5 Cold Bolt Scroll;;;;
690;불의주문서;Level 3 Fire Bolt Scroll;;;;
691;불의주문서;Level 5 Fire Bolt Scroll;;;;
692;바람의주문서;Level 3 Lightning Bolt Scroll;;;;
693;바람의주문서;Level 5 Lightning Bolt Scroll;;;;
694;염의주문서;Level 3 Soul Strike Scroll;;;;
695;염의주문서;Level 5 Soul Strike Scroll;;;;
696;불의주문서;Level 1 Fire Ball Scroll;;;;
697;불의주문서;Level 5 Fire Ball Scroll;;;;
698;불의주문서;Level 1 Fire Wall Scroll;;;;
699;불의주문서;Level 5 Fire Wall Scroll;;;;
700;물의주문서;Level 1 Frost Diver Scroll;;;;
701;오라오라;Ora Ora;;;;
702;가축의피;Animal Gore;;;;
703;히나레;Hinalle;;;;
704;알로에;Aloe;;;;
705;클로버;Clover;;;;
706;네잎클로버;Four Leaf Clover;;;;
707;노래하는풀;Singing Plant;;;;
708;멘트;Ment;;;;
709;이지도르;Izidor;;;;
710;환상의꽃;Illusion Flower;;;;
711;새싹;Shoot;;;;
712;꽃;Flower;;;;
713;빈병;Empty Bottle;;;;
714;엠펠리움;Emperium;;;;
715;옐로우젬스톤;Yellow Gemstone;;;;
716;레드젬스톤;Red Gemstone;;;;
717;블루젬스톤;Blue Gemstone;;;;
718;검붉은보석;Garnet;;;;
719;보라색보석;Amethyst;;;;
720;하늘색보석;Aquamarine;;;;
721;초록색보석;Emerald;;;;
722;분홍색보석;Pearl;;;;
723;진홍색보석;Ruby;;;;
724;진홍색보석;Cursed Ruby;;;;
725;붉은색보석;Sardonyx;;;;
726;파란색보석;Sapphire;;;;
727;하얀색보석;Opal;;;;
728;노란색보석;Topaz;;;;
729;청록색보석;Zircon;;;;
730;투명한보석;1carat Diamond;;;;
731;투명한보석;2carat Diamond;;;;
732;투명한보석;3carat Diamond;;;;
733;투명한보석;Cracked Diamond;;;;
734;붉은액자;Red Frame;;;;
735;푸른도자기;Chung Jah;;;;
736;하얀접시;China;;;;
737;검은국자;Black Ladle;;;;
738;연필꽃이;Pencil Case;;;;
739;화장품;Rouge;;;;
740;봉제인형;Puppet;;;;
741;포링인형;Poring Doll;;;;
742;촌촌인형;Chonchon Doll;;;;
743;스포아인형;Spore Doll;;;;
744;꽃다발;Bouquet;;;;
745;부케;Wedding Bouquet;;;;
746;유리구슬;Glass Bead;;;;
747;수정거울;Crystal Mirror;;;;
748;시들지않는장미;Witherless Rose;;;;
749;얼음장미;Frozen Rose;;;;
750;바포메트인형;Baphomet Doll;;;;
751;오시리스인형;Osiris Doll;;;;
752;메뚜기인형;Rocker Doll;;;;
753;원숭이인형;Yoyo Doll;;;;
754;너구리인형;Racoon Doll;;;;
756;오리데오콘원석;Rough Oridecon;;;;
757;에르늄원석;Rough Elunium;;;;
766;금빛털;Silky Fur Bundle;;;;
901;댕기머리;Daenggie;;;;
902;나무뿌리;Tree Root;;;;
903;파충류혓바닥;Reptile Tongue;;;;
904;전갈의꼬리;Scorpion Tail;;;;
905;식물의줄기;Stem;;;;
906;비늘줄기;Pointed Scale;;;;
907;고목나무진;Resin;;;;
908;개구리알;Spawn;;;;
909;젤로피;Jellopy;;;;
910;가렛;Garlet;;;;
911;셀;Scell;;;;
912;자르곤;Zargon;;;;
913;박쥐의이빨;Tooth of Bat;;;;
914;솜털;Fluff;;;;
915;번데기껍질;Chrysalis;;;;
916;새의깃털;Feather of Birds;;;;
917;새의발톱;Talon;;;;
918;끈적이는물갈퀴;Sticky Webfoot;;;;
919;동물가죽;Animal Skin;;;;
920;늑대의발톱;Wolf Claw;;;;
921;버섯포자;Mushroom Spore;;;;
922;오크의송곳니;Orc's Fang;;;;
923;악마의뿔;Evil Horn;;;;
924;나비날개분;Powder of Butterfly;;;;
925;새의부리;Bill of Birds;;;;
926;뱀의비늘;Snake Scale;;;;
928;벌레더듬이;Insect Feeler;;;;
929;멈추지않는심장;Immortal Heart;;;;
930;썩은붕대;Rotten Bandage;;;;
931;오크전사의증표;Orc Warrior's Token;;;;
932;스켈본;Skel-Bone;;;;
934;사자의유품;Memento;;;;
935;단단한껍질;Shell;;;;
936;비늘피부;Scale Shell;;;;
937;독송곳니;Venom Canine;;;;
938;끈적끈적한액체;Sticky Mucus;;;;
939;벌의뒷침;Bee Sting;;;;
940;메뚜기뒷다리;Grasshopper's Leg;;;;
941;쇠고랑;Nose Ring;;;;
942;원숭이꼬리;Yoyo Tail;;;;
943;매우단단한껍질;Solid Shell;;;;
944;말발굽;Horseshoe;;;;
945;너구리나뭇잎;Raccoon Leaf;;;;
946;달팽이껍질;Snail's Shell;;;;
947;딱딱한뿔;Horn;;;;
948;곰발바닥;Bear's Footskin;;;;
949;부드러운털;Feather;;;;
950;인어의심장;Heart of Mermaid;;;;
951;등지느러미;Fin;;;;
952;선인장침;Cactus Needle;;;;
953;돌심장;Stone Heart;;;;
954;빛나는비늘;Shining Scale;;;;
955;벌레껍질;Worm Peeling;;;;
956;가시달린아가미;Gill;;;;
957;망자의손톱;Decayed Nail;;;;
958;망자의이빨;Horrendous Mouth;;;;
959;썩은비늘;Stinky Scale;;;;
960;집게발;Nipper;;;;
961;소라;Conch;;;;
962;촉수;Tentacle;;;;
963;날카로운비늘;Sharp Scale;;;;
964;게등껍질;Crab Shell;;;;
965;조개껍질;Clam Shell;;;;
966;조개살;Clam Flesh;;;;
967;거북이등껍질;Turtle Shell;;;;
968;오크용자의증표;Orc Hero's Token;;;;
969;황금;Gold;;;;
970;알코올;Alcohol;;;;
971;디트리민;Detrimindexta;;;;
972;카르보딜;Karvodailnirol;;;;
973;중화제;Counteragent;;;;
974;혼합제;Mixture;;;;
975;빨간색염료;Scarlet Dyestuffs;;;;
976;노란색염료;Lemon Dyestuffs;;;;
978;파란색염료;Cobaltblue Dyestuffs;;;;
979;초록색염료;Darkgreen Dyestuffs;;;;
980;주홍색염료;Orange Dyestuffs;;;;
981;보라색염료;Violet Dyestuffs;;;;
982;하얀색염료;White Dyestuffs;;;;
983;검은색염료;Black Dyestuffs;;;;
984;오리데오콘;Oridecon;;;;
985;에르늄;Elunium;;;;
986;모루;Anvil;;;;
987;오리데오콘모루;Oridecon Anvil;;;;
988;황금의모루;Golden Anvil;;;;
989;엠펠리움모루;Emperium Anvil;;;;
990;레드블러드;Red Blood;;;;
991;크리스탈블루;Crystal Blue;;;;
992;옐로우라이브;Wind of Verdure;;;;
993;윈드오브버듀어;Green Live;;;;
994;프레임하트;Flame Heart;;;;
995;미스틱프로즌;Mystic Frozen;;;;
996;러프윈드;Rough Wind;;;;
997;그레이트네이쳐;Great Nature;;;;
998;철;Iron;;;;
999;강철;Steel;;;;
1000;별의조각;Star Crumb;;;;
1001;별의가루;Star Dust;;;;
1002;철광석;Iron Ore;;;;
1003;석탄;Coal;;;;
1004;충절의증거;Chivalry Emblem;;;;
1005;대장장이의망치;Hammer of Blacksmith;;;;
1006;오래된마법서;Old Magic Book;;;;
1007;혜안;Necklace of Wisdom;;;;
1008;비정한마음;Necklace of Oblivion;;;;
1009;성흔;Hand of God;;;;
1010;프라콘;Phracon;;;;
1011;엠베르타콘;Emveretarcon;;;;
1012;도마뱀의목덜미;Frill;;;;
1013;알록달록한껍질;Rainbow Shell;;;;
1014;개미의턱뼈;Ant Jaw;;;;
1015;길고가느다란혀;Tongue;;;;
1016;쥐의꼬리;Rat Tail;;;;
1017;두더지의수염;Mole Whiskers;;;;
1018;두더지의손톱;Mole Claw;;;;
1019;나무조각;Trunk;;;;
1020;긴머리카락;Black Hair;;;;
1021;도깨비의뿔;Dokkaebi Horn;;;;
1022;여우의꼬리;Nine Tails;;;;
1023;생선의꼬리;Fish Tail;;;;
1024;먹물;Squid Ink;;;;
1025;거미줄;Cobweb;;;;
1026;도토리;Acorn;;;;
1027;고슴도치가시;Porcupine Quill;;;;
1028;맷돼지의갈기털;Mane;;;;
1029;호랑이의가죽;Tiger Skin;;;;
1030;호랑이의발바닥;Tiger's Footskin;;;;
1031;사마귀의팔;Mantis Scythe;;;;
1032;식인수의꽃;Maneater Blossom;;;;
1033;식인수의뿌리;Maneater Root;;;;
1034;코볼트의털;Blue Hair;;;;
1035;드래곤의이빨;Dragon Canine;;;;
1036;드래곤의비늘;Dragon Scale;;;;
1037;드래곤의꼬리;Dragon Tail;;;;
1038;새끼악마의뿔;Little Evil Horn;;;;
1039;새끼악마의날개;Little Evil Wing;;;;
1040;늙은요정의수염;Elder Pixie's Moustache;;;;
1041;랜턴;Lantern;;;;
1042;짧은다리;Bug Leg;;;;
1043;오크의손톱;Orc Claw;;;;
1044;제노크의이빨;Zenorc's Fang;;;;
1045;신관의가면;Cultish Mask;;;;
1046;전갈의집게손;Scorpion Nipper;;;;
1047;메두사의머리;Dead Medusa;;;;
1048;머리카락뱀;Horrendous Hair;;;;
1049;처녀의옷자락;Skirt of Virgin;;;;
1050;뇌관;Tendon;;;;
1051;힘줄;Detonator;;;;
1052;단세포;Single Cell;;;;
1053;고대어의이빨;Ancient Tooth;;;;
1054;고대어의입술;Ancient Lips;;;;
1055;지렁이가죽;Earthworm Peeling;;;;
1056;모래조각;Grit;;;;
1057;나방의날개가루;Moth Dust;;;;
1058;나방의날개;Moth Wings;;;;
1059;투명한천조각;Fabric;;;;
1060;금빛머리카락;Golden Hair;;;;
1061;마녀의별모래;Witch Starsand;;;;
1062;호박머리;Jack o' Pumpkin;;;;
1063;날카로운송곳니;Fang;;;;
1064;말고삐;Reins;;;;
1065;트랩;Trap;;;;
1066;궁수전직나무;Fine-grained Trunk;;;;
1067;궁수전직나무;Solid Trunk;;;;
1068;궁수전직나무;Barren Trunk;;;;
1069;도둑전직버섯;Orange Net Mushroom;;;;
1070;도둑전직버섯;Orange Gooey Mushroom;;;;
1071;마술전직시험관;Unknown Test Tube;;;;
1072;상인만수편지;Delivery Message;;;;
1073;상인영수증;Voucher;;;;
1074;상인영수증;Voucher;;;;
1075;상인영수증;Voucher;;;;
1076;상인영수증;Voucher;;;;
1077;상인영수증;Voucher;;;;
1078;상인영수증;Voucher;;;;
1079;상인영수증;Voucher;;;;
1080;상인영수증;Voucher;;;;
1081;상인전직상자;Delivery Box;;;;
1082;상인전직상자;Delivery Box;;;;
1083;상인전직상자;Delivery Box;;;;
1084;카프라이용권;Kafra Pass;;;;
1085;마술전직시험관;Unknown Test Tube;;;;
1086;마술전직시험관;Unknown Test Tube;;;;
1087;마술전직시험관;Unknown Test Tube;;;;
1088;모로크수용액;Morocc Solution;;;;
1089;페이욘수용액;Payon Solution;;;;
1090;마술전직시험관;Unknown Test Tube;;;;
1091;상인전직상자;Delivery Box;;;;
1092;빈시험관;Empty Test Tube;;;;
1093;빈포션병;Empty Potion Bottle;;;;
1094;짧은댕기머리;Short Daenggie;;;;
1095;시계바늘;Needle of Alarm;;;;
1096;둥근껍질;Round Shell;;;;
1097;낡은책장;Worn Out Page;;;;
1098;수갑;Manacles;;;;
1099;낡은죄수복;Worn-out Prison Uniform;;;;
1320;빛나는양날도끼;Diva Axe;;;;
1325;서늘한양날도끼;Mirage Axe;;;;
1328;Blut_Axe;Blut Axe;;;;
1331;데몬엑스;Abyss Axe;;;;
1444;신뢰의창;Thunder Lance;;;;
1672;세이프티로드;Safety Rod;;;;
1688;신뢰의지팡이;Thunder Wand;;;;
1689;Overfishing_Staff;Rental Hunting Staff;;;;
1750;화살;Arrow;;;;
1751;은화살;Silver Arrow;;;;
1752;불화살;Fire Arrow;;;;
1753;강철화살;Steel Arrow;;;;
1754;수정화살;Crystal Arrow;;;;
1755;바람의화살;Arrow of Wind;;;;
1756;암석화살;Stone Arrow;;;;
1757;무형의화살;Immaterial Arrow;;;;
1758;스턴애로우;Stun Arrow;;;;
1759;프리징애로우;Frozen Arrow;;;;
1760;스턴애로우;Flash Arrow;;;;
1761;커스애로우;Cursed Arrow;;;;
1762;녹슨화살;Rusty Arrow;;;;
1763;독화살;Poison Arrow;;;;
1764;날카로운화살;Sharp Arrow;;;;
1765;강철화살;Oridecon Arrow;;;;
1766;강철화살;Arrow of Counter Evil;;;;
1767;그림자의화살;Arrow of Shadow;;;;
1768;슬립애로우;Sleep Arrow;;;;
1769;사일런스애로우;Silence Arrow;;;;
1770;화살;Iron Arrow;;;;
1771;베넘나이프;Venom Knife;;;;
1772;강철화살;Holy Arrow;;;;
1773;엘프의화살;Elven Arrow;;;;
1774;사냥용화살;Hunting Arrow;;;;
1775;강철화살;Siege Arrow S;;;;
1776;화살;Siege Arrow A;;;;
1842;디바크로;Diva Claw;;;;
1843;미라쥬크로;Mirage Claw;;;;
1844;사념의피스트;Vicious Mind Fist;;;;
1861;데몬클로;Abyss Claw;;;;
1943;이호;Erhu;;;;
1945;빛나는바이올린;Diva Violin;;;;
1946;서늘한바이올린;Mirage Violin;;;;
1947;사념의바이올린;Vicious Mind Violin;;;;
1948;히피기타;Guitar of Nature;;;;
1993;가시철사;Barbed Wire;;;;
1998;타노스의윕소드;Requiem Blade Whip;;;;
1999;영환의방울;Bell of Vampire;;;;
2028;아이온스태프;Iron Staff;;;;
2029;홀리스틱;Devil God's Staff;;;;
2031;청새치_;Two-Handed Cat Wand - Fish Flag;;;;
2034;어벤저위저드스태프;Avenger Wizard Staff;;;;
2035;디바스태프;Diva Staff;;;;
2036;미라쥬스태프;Mirage Staff;;;;
2037;사념의스태프;Vicious Mind Staff;;;;
2038;해바라기소년;Sunflower Boy;;;;
2041;지란트스태프;Witch's Thunder Flame Wand;;;;
2042;Neev_Wizardy_Staff;Neev Wizardy Staff;;;;
2043;Neev_Arc_Wand;Neev Arc Wand;;;;
2044;Neev_Holy_Stick;Neev Holy Stick;;;;
2045;Neev_Divine_Cross;Neev Divine Cross;;;;
2192;로즈오브에덴;Rose of Eden;;;;
2193;타천사의방패;Shield of Fallen Angel;;;;
2197;아이언쉴드;Iron Shield;;;;
2490;룬부츠;Rune Boots;;;;
2600;양향주머니;Sheep Sachet;;;;
2606;휘케바인검은꼬리;Rental Black Tail of Hyukke;;;;
2929;피사향포;Veteran Amulet;;;;
2930;피사향포;Sente Amulet Victory;;;;
2931;피사향포;Amulet of Good Health;;;;
2932;피사향포;Infallible Amulet;;;;
2933;피사향포;Amulet of Erudite Versatile;;;;
2934;피사향포;Amulet of Trading Prosperity;;;;
2937;금목걸이_;RJC2012EXP Necklace;;;;
2938;금목걸이_;RJC2012 Status Necklace;;;;
2939;금목걸이_;RJC2012 Spell Necklace;;;;
2955;태국반지;Neutral Ring;;;;
2961;마법카페트;Magic Carpet;;;;
2962;정신력의반지;Ring of Willpower;;;;
2965;천사의알;Angel's Egg;;;;
2970;파이의열매상자;Box of Pie Fruit;;;;
2972;수호의사랑;Guardian of Love;;;;
2973;영원한사랑;Eternal Love;;;;
2974;영원한수호의사랑;Guardian Eternal Love;;;;
2975;10주년기념패키지_j;10th Anniversary Badge;;;;
2982;어스링;Earth ring;;;;
2993;세계수의반지;Ring of World Tree;;;;
2994;푸른묘안석;Water Crystal Stone;;;;
3629;금화;Brisingamen Token;;;;
3630;금화;Sleipnir Token;;;;
3633;금화;Mjolnir Token;;;;
3634;금화;Megingjord Token;;;;
3737;금전주머니;Brownie Point;;;;
4001;이름없는카드;Poring Card;;;;
4002;이름없는카드;Fabre Card;;;;
4003;이름없는카드;Pupa Card;;;;
4004;이름없는카드;Drops Card;;;;
4005;이름없는카드;Santa Poring Card;;;;
4006;이름없는카드;Lunatic Card;;;;
4007;이름없는카드;Pecopeco Egg Card;;;;
4008;이름없는카드;Picky Card;;;;
4009;이름없는카드;Chonchon Card;;;;
4010;이름없는카드;Willow Card;;;;
4011;이름없는카드;Picky Egg Card;;;;
4012;이름없는카드;Thiefbug Egg Card;;;;
4013;이름없는카드;Andre Egg Card;;;;
4014;이름없는카드;Roda Frog Card;;;;
4015;이름없는카드;Condor Card;;;;
4016;이름없는카드;Thief Bug Card;;;;
4017;이름없는카드;Savage Bebe Card;;;;
4018;이름없는카드;Andre Larva Card;;;;
4019;이름없는카드;Hornet Card;;;;
4020;이름없는카드;Familiar Card;;;;
4021;이름없는카드;Rocker Card;;;;
4022;이름없는카드;Spore Card;;;;
4023;이름없는카드;Baby Desert Wolf Card;;;;
4024;이름없는카드;Plankton Card;;;;
4025;이름없는카드;Skeleton Card;;;;
4026;이름없는카드;Female Thiefbug Card;;;;
4027;이름없는카드;Kukre Card;;;;
4028;이름없는카드;Tarou Card;;;;
4029;이름없는카드;Wolf Card;;;;
4030;이름없는카드;Mandragora Card;;;;
4031;이름없는카드;Pecopeco Card;;;;
4032;이름없는카드;Ambernite Card;;;;
4033;이름없는카드;PoPoring Card;;;;
4034;이름없는카드;Wormtail Card;;;;
4035;이름없는카드;Hydra Card;;;;
4036;이름없는카드;Muka Card;;;;
4037;이름없는카드;Snake Card;;;;
4038;이름없는카드;Zombie Card;;;;
4039;이름없는카드;Stainer Card;;;;
4040;이름없는카드;Creamy Card;;;;
4041;이름없는카드;Coco Card;;;;
4042;이름없는카드;Steel Chonchon Card;;;;
4043;이름없는카드;Andre Card;;;;
4044;이름없는카드;Smokie Card;;;;
4045;이름없는카드;Horn Card;;;;
4046;이름없는카드;Martin Card;;;;
4047;이름없는카드;Ghostring Card;;;;
4048;이름없는카드;Poison Spore Card;;;;
4049;이름없는카드;Vadon Card;;;;
4050;이름없는카드;Male Thiefbug Card;;;;
4051;이름없는카드;Yoyo Card;;;;
4052;이름없는카드;Elder Willow Card;;;;
4053;이름없는카드;Vitata Card;;;;
4054;이름없는카드;Angelring Card;;;;
4055;이름없는카드;Marina Card;;;;
4056;이름없는카드;Dustiness Card;;;;
4057;이름없는카드;Metaller Card;;;;
4058;이름없는카드;Thara Frog Card;;;;
4059;이름없는카드;Soldier Andre Card;;;;
4060;이름없는카드;Goblin Card;;;;
4061;이름없는카드;Cornutus Card;;;;
4062;이름없는카드;Anacondaq Card;;;;
4063;이름없는카드;Caramel Card;;;;
4064;이름없는카드;Zerom Card;;;;
4065;이름없는카드;Kaho Card;;;;
4066;이름없는카드;Orc Warrior Card;;;;
4067;이름없는카드;Megalodon Card;;;;
4068;이름없는카드;Scorpion Card;;;;
4069;이름없는카드;Drainliar Card;;;;
4070;이름없는카드;Eggyra Card;;;;
4071;이름없는카드;Orc Zombie Card;;;;
4072;이름없는카드;Golem Card;;;;
4073;이름없는카드;Pirate Skel Card;;;;
4074;이름없는카드;Bigfoot Card;;;;
4075;이름없는카드;Argos Card;;;;
4076;이름없는카드;Magnolia Card;;;;
4077;이름없는카드;Phen Card;;;;
4078;이름없는카드;Savage Card;;;;
4079;이름없는카드;Mantis Card;;;;
4080;이름없는카드;Flora Card;;;;
4081;이름없는카드;Hode Card;;;;
4082;이름없는카드;Desert Wolf Card;;;;
4083;이름없는카드;Rafflesia Card;;;;
4084;이름없는카드;Marine Sphere Card;;;;
4085;이름없는카드;Orc Skeleton Card;;;;
4086;이름없는카드;Soldier Skeleton Card;;;;
4087;이름없는카드;Giearth Card;;;;
4088;이름없는카드;Frilldora Card;;;;
4089;이름없는카드;Swordfish Card;;;;
4090;이름없는카드;Munak Card;;;;
4091;이름없는카드;Kobold Card;;;;
4092;이름없는카드;Skel Worker Card;;;;
4093;이름없는카드;Obeaune Card;;;;
4094;이름없는카드;Archer Skeleton Card;;;;
4095;이름없는카드;Marse Card;;;;
4096;이름없는카드;Zenorc Card;;;;
4097;이름없는카드;Matyr Card;;;;
4098;이름없는카드;Dokkaebi Card;;;;
4099;이름없는카드;Pasana Card;;;;
4100;이름없는카드;Sohee Card;;;;
4101;이름없는카드;Sandman Card;;;;
4102;이름없는카드;Whisper Card;;;;
4103;이름없는카드;Horong Card;;;;
4104;이름없는카드;Requiem Card;;;;
4105;이름없는카드;Marc Card;;;;
4106;이름없는카드;Mummy Card;;;;
4107;이름없는카드;Verit Card;;;;
4108;이름없는카드;Myst Card;;;;
4109;이름없는카드;Jakk Card;;;;
4110;이름없는카드;Ghoul Card;;;;
4111;이름없는카드;Strouf Card;;;;
4112;이름없는카드;Marduk Card;;;;
4113;이름없는카드;Marionette Card;;;;
4114;이름없는카드;Argiope Card;;;;
4115;이름없는카드;Hunter Fly Card;;;;
4116;이름없는카드;Isis Card;;;;
4117;이름없는카드;Sidewinder Card;;;;
4118;이름없는카드;Earth Petite Card;;;;
4119;이름없는카드;Bathory Card;;;;
4120;이름없는카드;Sky Petite Card;;;;
4121;이름없는카드;Phreeoni Card;;;;
4122;이름없는카드;Deviruchi Card;;;;
